2024-01-10 13:02:40,813 p=6028 u=vagrant n=ansible | playbook: deploy.yaml
2024-01-10 13:02:52,142 p=6036 u=vagrant n=ansible | PLAY [Apache installation using docker] *****************************************************************************************************
2024-01-10 13:02:52,167 p=6036 u=vagrant n=ansible | TASK [Gathering Facts] **********************************************************************************************************************
2024-01-10 13:02:54,753 p=6036 u=vagrant n=ansible | ok: [web]
2024-01-10 13:02:54,789 p=6036 u=vagrant n=ansible | TASK [Install EPEL repo] ********************************************************************************************************************
2024-01-10 13:02:56,301 p=6036 u=vagrant n=ansible | ok: [web]
2024-01-10 13:02:56,340 p=6036 u=vagrant n=ansible | TASK [Download pip script] ******************************************************************************************************************
2024-01-10 13:02:59,360 p=6036 u=vagrant n=ansible | ok: [web]
2024-01-10 13:02:59,394 p=6036 u=vagrant n=ansible | TASK [Install python-pip] *******************************************************************************************************************
2024-01-10 13:03:08,015 p=6036 u=vagrant n=ansible | changed: [web]
2024-01-10 13:03:08,049 p=6036 u=vagrant n=ansible | TASK [Install docker python] ****************************************************************************************************************
2024-01-10 13:03:10,071 p=6036 u=vagrant n=ansible | ok: [web]
2024-01-10 13:03:10,105 p=6036 u=vagrant n=ansible | TASK [Create Apache Conteneur] **************************************************************************************************************
2024-01-10 13:03:11,449 p=6036 u=vagrant n=ansible | ok: [web]
2024-01-10 13:03:11,452 p=6036 u=vagrant n=ansible | PLAY RECAP **********************************************************************************************************************************
2024-01-10 13:03:11,453 p=6036 u=vagrant n=ansible | web                        : ok=6    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2024-01-10 13:21:33,902 p=6166 u=vagrant n=ansible | playbook: deploy.yaml
2024-01-10 13:21:45,447 p=6174 u=vagrant n=ansible | PLAY [Apache installation using docker] *****************************************************************************************************
2024-01-10 13:21:45,472 p=6174 u=vagrant n=ansible | TASK [Gathering Facts] **********************************************************************************************************************
2024-01-10 13:21:47,943 p=6174 u=vagrant n=ansible | ok: [web]
2024-01-10 13:21:47,980 p=6174 u=vagrant n=ansible | TASK [Install EPEL repo] ********************************************************************************************************************
2024-01-10 13:21:49,579 p=6174 u=vagrant n=ansible | ok: [web]
2024-01-10 13:21:49,623 p=6174 u=vagrant n=ansible | TASK [Download pip script] ******************************************************************************************************************
2024-01-10 13:21:51,686 p=6174 u=vagrant n=ansible | ok: [web]
2024-01-10 13:21:51,720 p=6174 u=vagrant n=ansible | TASK [Install python-pip] *******************************************************************************************************************
2024-01-10 13:22:01,398 p=6174 u=vagrant n=ansible | changed: [web]
2024-01-10 13:22:01,432 p=6174 u=vagrant n=ansible | TASK [Install docker python] ****************************************************************************************************************
2024-01-10 13:22:03,580 p=6174 u=vagrant n=ansible | ok: [web]
2024-01-10 13:22:03,615 p=6174 u=vagrant n=ansible | TASK [Create Apache Conteneur] **************************************************************************************************************
2024-01-10 13:22:52,219 p=6174 u=vagrant n=ansible | changed: [web]
2024-01-10 13:22:52,224 p=6174 u=vagrant n=ansible | PLAY RECAP **********************************************************************************************************************************
2024-01-10 13:22:52,225 p=6174 u=vagrant n=ansible | web                        : ok=6    changed=2    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
